trace	step	action	arg1	arg2	arg3	arg4	arg5	arg6	revision	selected	focused	panX	panY	zoom	captured	objectAAvailable	objectBAvailable	outcome
9	10	FocusNext	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
9	11	ClearSelection	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	0
9	12	ReleasePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
10	1	ReleasePointer	2	1	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
10	2	CapturePointer	1	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
10	3	ReplaceDocument	1	2	0	1	1	0	0	0	0	0	0	1	-1	true	true	1
10	4	ReplaceDocument	2	3	1	1	0	0	0	0	0	0	0	1	-1	true	true	1
10	5	Select	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
10	6	ClearSelection	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
10	7	FocusNext	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
10	8	FocusNext	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
10	9	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
10	10	FocusNext	1	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
10	11	Select	1	1	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
10	12	SetCamera	2	1	-1	0	0	0	0	0	1	0	0	1	-1	true	true	1
11	1	ClearSelection	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
11	2	FocusNext	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
11	3	CapturePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
11	4	FocusPrevious	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
11	5	FocusPrevious	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
11	6	FocusPrevious	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
11	7	CapturePointer	0	1	0	0	0	0	0	0	0	0	0	1	1	true	true	0
11	8	ReleasePointer	0	2	0	0	0	0	0	0	0	0	0	1	1	true	true	5
11	9	Select	2	2	0	0	0	0	0	0	0	0	0	1	1	true	true	1
11	10	FocusNext	2	0	0	0	0	0	0	0	0	0	0	1	1	true	true	1
11	11	Select	2	1	0	0	0	0	0	0	0	0	0	1	1	true	true	1
11	12	FocusPrevious	0	0	0	0	0	0	0	0	2	0	0	1	1	true	true	0
12	1	Select	0	2	0	0	0	0	0	2	2	0	0	1	-1	true	true	0
12	2	ReplaceDocument	0	2	0	0	0	0	0	2	2	0	0	1	-1	true	true	6
12	3	FocusNext	2	0	0	0	0	0	0	2	2	0	0	1	-1	true	true	1
12	4	Select	0	0	0	0	0	0	0	2	2	0	0	1	-1	true	true	2
12	5	ReplaceDocument	0	3	0	1	0	0	0	2	2	0	0	1	-1	true	true	6
12	6	ClearSelection	1	0	0	0	0	0	0	2	2	0	0	1	-1	true	true	1
12	7	FocusNext	2	0	0	0	0	0	0	2	2	0	0	1	-1	true	true	1
12	8	ReplaceDocument	0	0	1	1	1	0	0	2	2	0	0	1	-1	true	true	3
12	9	Select	2	0	0	0	0	0	0	2	2	0	0	1	-1	true	true	1
12	10	SetCamera	2	1	-1	1	0	0	0	2	2	0	0	1	-1	true	true	1
12	11	ClearSelection	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
12	12	ReleasePointer	2	1	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
13	1	ClearSelection	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
13	2	FocusPrevious	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
13	3	SetCamera	0	1	-1	0	0	0	0	0	0	0	0	1	-1	true	true	4
13	4	FocusPrevious	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
13	5	ReleasePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
13	6	ClearSelection	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	0
13	7	ClearSelection	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	0
13	8	Select	0	2	0	0	0	0	0	2	2	0	0	1	-1	true	true	0
13	9	FocusNext	2	0	0	0	0	0	0	2	2	0	0	1	-1	true	true	1
13	10	Select	2	2	0	0	0	0	0	2	2	0	0	1	-1	true	true	1
13	11	ClearSelection	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
13	12	ReplaceDocument	1	0	1	1	0	0	0	0	2	0	0	1	-1	true	true	1
14	1	SetCamera	1	1	-1	0	0	0	0	0	0	0	0	1	-1	true	true	1
14	2	ClearSelection	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
14	3	ReplaceDocument	1	3	0	1	1	0	0	0	0	0	0	1	-1	true	true	1
14	4	ReplaceDocument	2	2	1	1	0	0	0	0	0	0	0	1	-1	true	true	1
14	5	CapturePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
14	6	ClearSelection	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
14	7	SetCamera	0	1	-1	1	0	0	0	0	0	1	-1	1	-1	true	true	0
14	8	ReplaceDocument	1	0	0	0	0	0	0	0	0	1	-1	1	-1	true	true	1
14	9	ClearSelection	2	0	0	0	0	0	0	0	0	1	-1	1	-1	true	true	1
