trace	step	action	arg1	arg2	arg3	arg4	arg5	arg6	revision	selected	focused	panX	panY	zoom	captured	objectAAvailable	objectBAvailable	outcome
10	12	ReleasePointer	1	2	0	0	0	0	0	1	2	0	0	1	-1	true	true	1
11	1	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
11	2	FocusNext	2	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
11	3	CapturePointer	1	1	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
11	4	FocusNext	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
11	5	FocusNext	2	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
11	6	ReleasePointer	2	1	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
11	7	FocusPrevious	2	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
11	8	Select	2	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
11	9	SetCamera	0	1	-1	2	0	0	0	0	2	1	-1	2	-1	true	true	0
11	10	Select	2	2	0	0	0	0	0	0	2	1	-1	2	-1	true	true	1
11	11	CapturePointer	1	2	0	0	0	0	0	0	2	1	-1	2	-1	true	true	1
11	12	CapturePointer	2	1	0	0	0	0	0	0	2	1	-1	2	-1	true	true	1
12	1	FocusPrevious	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
12	2	FocusPrevious	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
12	3	CapturePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
12	4	FocusNext	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
12	5	ClearSelection	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
12	6	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
12	7	Select	0	1	0	0	0	0	0	1	1	0	0	1	-1	true	true	0
12	8	ReplaceScene	1	0	1	1	-1	2	1	0	0	1	-1	2	-1	false	true	0
12	9	Select	0	0	0	0	0	0	1	0	0	1	-1	2	-1	false	true	1
12	10	ClearSelection	2	0	0	0	0	0	1	0	0	1	-1	2	-1	false	true	1
12	11	FocusPrevious	1	0	0	0	0	0	1	0	2	1	-1	2	-1	false	true	0
12	12	CapturePointer	2	2	0	0	0	0	1	0	2	1	-1	2	-1	false	true	1
13	1	ReplaceScene	2	0	0	1	-1	2	2	0	0	1	-1	2	-1	false	false	0
13	2	CapturePointer	0	1	0	0	0	0	2	0	0	1	-1	2	-1	false	false	1
13	3	ReleasePointer	0	2	0	0	0	0	2	0	0	1	-1	2	-1	false	false	1
13	4	Select	2	2	0	0	0	0	2	0	0	1	-1	2	-1	false	false	2
13	5	ReplaceScene	2	0	0	1	-1	2	2	0	0	1	-1	2	-1	false	false	3
13	6	FocusPrevious	0	0	0	0	0	0	2	0	0	1	-1	2	-1	false	false	1
13	7	FocusPrevious	2	0	0	0	0	0	2	0	0	1	-1	2	-1	false	false	0
13	8	SetCamera	0	1	-1	1	0	0	2	0	0	1	-1	2	-1	false	false	1
13	9	FocusNext	2	0	0	0	0	0	2	0	0	1	-1	2	-1	false	false	0
13	10	ReplaceScene	1	1	1	1	-1	1	2	0	0	1	-1	2	-1	false	false	3
13	11	ReleasePointer	2	2	0	0	0	0	2	0	0	1	-1	2	-1	false	false	5
13	12	FocusPrevious	0	0	0	0	0	0	2	0	0	1	-1	2	-1	false	false	1
14	1	ReleasePointer	0	1	0	0	0	0	0	0	0	0	0	1	-1	true	true	5
14	2	SetCamera	1	1	-1	0	0	0	0	0	0	0	0	1	-1	true	true	1
14	3	FocusNext	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
14	4	ReplaceScene	1	1	1	1	-1	2	1	0	0	1	-1	2	-1	true	true	0
14	5	ReplaceScene	3	0	1	1	-1	1	3	0	0	1	-1	1	-1	false	true	0
14	6	SetCamera	0	1	-1	1	0	0	3	0	0	1	-1	1	-1	false	true	1
14	7	CapturePointer	0	1	0	0	0	0	3	0	0	1	-1	1	-1	false	true	1
14	8	FocusNext	0	0	0	0	0	0	3	0	0	1	-1	1	-1	false	true	1
14	9	ReplaceScene	3	0	0	1	-1	1	3	0	0	1	-1	1	-1	false	true	3
14	10	SetCamera	0	1	-1	1	0	0	3	0	0	1	-1	1	-1	false	true	1
14	11	ReleasePointer	1	1	0	0	0	0	3	0	0	1	-1	1	-1	false	true	1
14	12	CapturePointer	2	1	0	0	0	0	3	0	0	1	-1	1	-1	false	true	1
15	1	ClearSelection	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
15	2	FocusNext	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
15	3	ReleasePointer	2	1	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
15	4	SetCamera	1	1	-1	2	0	0	0	0	0	0	0	1	-1	true	true	1
15	5	ReplaceScene	1	0	1	1	-1	1	1	0	0	1	-1	1	-1	false	true	0
15	6	FocusPrevious	2	0	0	0	0	0	1	0	0	1	-1	1	-1	false	true	1
15	7	FocusNext	2	0	0	0	0	0	1	0	0	1	-1	1	-1	false	true	1
15	8	Select	0	0	0	0	0	0	1	0	0	1	-1	1	-1	false	true	1
15	9	Select	2	0	0	0	0	0	1	0	0	1	-1	1	-1	false	true	1
15	10	SetCamera	0	1	-1	2	0	0	1	0	0	1	-1	1	-1	false	true	1
15	11	Select	1	0	0	0	0	0	1	0	0	1	-1	1	-1	false	true	2
15	12	SetCamera	0	1	-1	2	0	0	1	0	0	1	-1	1	-1	false	true	1
